Province,Total_Case,Zone
PAPUA BARAT,3485,Green
KALIMANTAN TENGAH,14023,Yellow
LAMPUNG,13188,Yellow
NUSA TENGGARA TIMUR,14997,Yellow
KALIMANTAN TIMUR,45625,Orange
NUSA TENGGARA BARAT,6957,Yellow
SULAWESI TENGAH,9528,Yellow
DKI JAKARTA,264336,Red
BANTEN,33047,Orange
JAMBI,7788,Yellow
ACEH,8630,Yellow
SUMATERA SELATAN,14397,Yellow
JAWA TIMUR,74647,Red
MALUKU UTARA,1842,Green
PAPUA,7392,Yellow
BALI,30161,Orange
KEPULAUAN RIAU,13352,Yellow
GORONTALO,1716,Green
KALIMANTAN BARAT,9214,Yellow
JAWA BARAT,245361,Red
MALUKU,2165,Green
SUMATERA BARAT,24310,Yellow
KALIMANTAN UTARA,8674,Yellow
SULAWESI UTARA,6190,Yellow
JAWA TENGAH,133968,Red
SUMATERA UTARA,15164,Yellow
SULAWESI TENGGARA,2689,Green
RIAU,40774,Orange
SULAWESI BARAT,3672,Green
DAERAH ISTIMEWA YOGYAKARTA,36596,Orange
SULAWESI SELATAN,31627,Orange
KEPULAUAN BANGKA BELITUNG,17363,Yellow
KALIMANTAN SELATAN,19982,Yellow
BENGKULU,5065,Yellow
